Anfangszeit - hh:mm:ss.ms	Anfangszeit - ss.msec	Endzeit - hh:mm:ss.ms	Endzeit - ss.msec	Dauer - hh:mm:ss.ms	Dauer - ss.msec	id@	tx@	mb@	ge@	ps@	ft@	nt@	sound@	graid
00:00:06.216	6.216	00:00:06.460	6.46	00:00:00.244	0.244	280117_10_Hamid_Clandividing 002	iimuriki	=I	=SEL	=clitic	(from) the story of the Tima people		280117_10_Hamid_Clandividing.WAV 4.510 6.460	rn_adp=np.h:g
00:00:07.310	7.31	00:00:08.372	8.372	00:00:01.062	1.062	280117_10_Hamid_Clandividing 003	##	##	##	##	the Tima, the Katla and also the Julut were the same	[nɛɛmaadaŋ]	280117_10_Hamid_Clandividing.WAV 7.310 14.750	##
00:00:08.372	8.372	00:00:09.435	9.435	00:00:01.063	1.063	280117_10_Hamid_Clandividing 003	imurik,				the Tima, the Katla and also the Julut were the same	[nɛɛmaadaŋ]	280117_10_Hamid_Clandividing.WAV 7.310 14.750	np.h:s
00:00:08.372	8.372	00:00:08.903	8.903	00:00:00.531	0.531	280117_10_Hamid_Clandividing 003	imurik,	I-	PL-	Pfx-	the Tima, the Katla and also the Julut were the same	[nɛɛmaadaŋ]	280117_10_Hamid_Clandividing.WAV 7.310 14.750	np.h:s
00:00:08.903	8.903	00:00:09.435	9.435	00:00:00.532	0.532	280117_10_Hamid_Clandividing 003	imurik,	murik	Tima	pn	the Tima, the Katla and also the Julut were the same	[nɛɛmaadaŋ]	280117_10_Hamid_Clandividing.WAV 7.310 14.750	np.h:s
00:00:09.435	9.435	00:00:10.498	10.498	00:00:01.063	1.063	280117_10_Hamid_Clandividing 003	na	na	with	conj	the Tima, the Katla and also the Julut were the same	[nɛɛmaadaŋ]	280117_10_Hamid_Clandividing.WAV 7.310 14.750	other
00:00:10.498	10.498	00:00:11.561	11.561	00:00:01.063	1.063	280117_10_Hamid_Clandividing 003	ɪmaadaŋ				the Tima, the Katla and also the Julut were the same	[nɛɛmaadaŋ]	280117_10_Hamid_Clandividing.WAV 7.310 14.750	other
00:00:10.498	10.498	00:00:11.029	11.029	00:00:00.531	0.531	280117_10_Hamid_Clandividing 003	ɪmaadaŋ	I-	PL-	Pfx-	the Tima, the Katla and also the Julut were the same	[nɛɛmaadaŋ]	280117_10_Hamid_Clandividing.WAV 7.310 14.750	other
00:00:11.029	11.029	00:00:11.561	11.561	00:00:00.532	0.532	280117_10_Hamid_Clandividing 003	ɪmaadaŋ	maadaŋ	Katla	pn	the Tima, the Katla and also the Julut were the same	[nɛɛmaadaŋ]	280117_10_Hamid_Clandividing.WAV 7.310 14.750	other
00:00:11.561	11.561	00:00:12.624	12.624	00:00:01.063	1.063	280117_10_Hamid_Clandividing 003	adɪ	adɪ	even	adv	the Tima, the Katla and also the Julut were the same	[nɛɛmaadaŋ]	280117_10_Hamid_Clandividing.WAV 7.310 14.750	other
00:00:12.624	12.624	00:00:13.687	13.687	00:00:01.063	1.063	280117_10_Hamid_Clandividing 003	ɪdɘŋa				the Tima, the Katla and also the Julut were the same	[nɛɛmaadaŋ]	280117_10_Hamid_Clandividing.WAV 7.310 14.750	other
00:00:12.624	12.624	00:00:13.155	13.155	00:00:00.531	0.531	280117_10_Hamid_Clandividing 003	ɪdɘŋa	I-	PL-	Pfx-	the Tima, the Katla and also the Julut were the same	[nɛɛmaadaŋ]	280117_10_Hamid_Clandividing.WAV 7.310 14.750	other
00:00:13.155	13.155	00:00:13.687	13.687	00:00:00.532	0.532	280117_10_Hamid_Clandividing 003	ɪdɘŋa	dɘŋa	Julut	pn	the Tima, the Katla and also the Julut were the same	[nɛɛmaadaŋ]	280117_10_Hamid_Clandividing.WAV 7.310 14.750	other
00:00:13.687	13.687	00:00:14.750	14.75	00:00:01.063	1.063	280117_10_Hamid_Clandividing 003	ɪtʊntwak				the Tima, the Katla and also the Julut were the same	[nɛɛmaadaŋ]	280117_10_Hamid_Clandividing.WAV 7.310 14.750	other:pred
00:00:13.687	13.687	00:00:14.218	14.218	00:00:00.531	0.531	280117_10_Hamid_Clandividing 003	ɪtʊntwak	I-	PL-	Pfx-	the Tima, the Katla and also the Julut were the same	[nɛɛmaadaŋ]	280117_10_Hamid_Clandividing.WAV 7.310 14.750	other:pred
00:00:14.218	14.218	00:00:14.750	14.75	00:00:00.532	0.532	280117_10_Hamid_Clandividing 003	ɪtʊntwak	tʊntwak	equal	adj	the Tima, the Katla and also the Julut were the same	[nɛɛmaadaŋ]	280117_10_Hamid_Clandividing.WAV 7.310 14.750	other:pred
00:00:15.890	15.89	00:00:17.062	17.062	00:00:01.172	1.172	280117_10_Hamid_Clandividing 004	##	##	##	##	they from west ah, of the Kega from far they came	pro.h:s is repeated	280117_10_Hamid_Clandividing.WAV 15.890 26.440	##
00:00:17.062	17.062	00:00:18.234	18.234	00:00:01.172	1.172	280117_10_Hamid_Clandividing 004	ihinʌ	ihinʌ	3pl	pron	they from west ah, of the Kega from far they came	pro.h:s is repeated	280117_10_Hamid_Clandividing.WAV 15.890 26.440	pro.h:s
00:00:18.234	18.234	00:00:19.406	19.406	00:00:01.172	1.172	280117_10_Hamid_Clandividing 004	ant̪ɘ	ant̪(V)	from	prep	they from west ah, of the Kega from far they came	pro.h:s is repeated	280117_10_Hamid_Clandividing.WAV 15.890 26.440	adp
00:00:19.406	19.406	00:00:20.578	20.578	00:00:01.172	1.172	280117_10_Hamid_Clandividing 004	nt̪ʌhinʌ				they from west ah, of the Kega from far they came	pro.h:s is repeated	280117_10_Hamid_Clandividing.WAV 15.890 26.440	np:obl=rn_dem1
00:00:19.406	19.406	00:00:19.992	19.992	00:00:00.586	0.586	280117_10_Hamid_Clandividing 004	nt̪ʌhinʌ	nt̪ʌhi	on.ground	relational	they from west ah, of the Kega from far they came	pro.h:s is repeated	280117_10_Hamid_Clandividing.WAV 15.890 26.440	np:obl=rn_dem1
00:00:19.992	19.992	00:00:20.578	20.578	00:00:00.586	0.586	280117_10_Hamid_Clandividing 004	nt̪ʌhinʌ	=nA	=DEM.PROX	=clitic	they from west ah, of the Kega from far they came	pro.h:s is repeated	280117_10_Hamid_Clandividing.WAV 15.890 26.440	np:obl=rn_dem1
00:00:20.578	20.578	00:00:21.751	21.751	00:00:01.173	1.173	280117_10_Hamid_Clandividing 004	aaah,	aaah	aaah	interjection	they from west ah, of the Kega from far they came	pro.h:s is repeated	280117_10_Hamid_Clandividing.WAV 15.890 26.440	nc
00:00:21.751	21.751	00:00:22.923	22.923	00:00:01.172	1.172	280117_10_Hamid_Clandividing 004	ɪyɛɛkaŋɪ				they from west ah, of the Kega from far they came	pro.h:s is repeated	280117_10_Hamid_Clandividing.WAV 15.890 26.440	rn_adp=np.h:g
00:00:21.751	21.751	00:00:22.044	22.044	00:00:00.293	0.293	280117_10_Hamid_Clandividing 004	ɪyɛɛkaŋɪ	V=	DIR=	clitic=	they from west ah, of the Kega from far they came	pro.h:s is repeated	280117_10_Hamid_Clandividing.WAV 15.890 26.440	rn_adp=np.h:g
00:00:22.044	22.044	00:00:22.337	22.337	00:00:00.293	0.293	280117_10_Hamid_Clandividing 004	ɪyɛɛkaŋɪ	y-	PL-	Pfx-	they from west ah, of the Kega from far they came	pro.h:s is repeated	280117_10_Hamid_Clandividing.WAV 15.890 26.440	rn_adp=np.h:g
00:00:22.337	22.337	00:00:22.630	22.63	00:00:00.293	0.293	280117_10_Hamid_Clandividing 004	ɪyɛɛkaŋɪ	ɛɛkaŋ	Kega	pn	they from west ah, of the Kega from far they came	pro.h:s is repeated	280117_10_Hamid_Clandividing.WAV 15.890 26.440	rn_adp=np.h:g
00:00:22.630	22.63	00:00:22.923	22.923	00:00:00.293	0.293	280117_10_Hamid_Clandividing 004	ɪyɛɛkaŋɪ	=I	=SEL	=clitic	they from west ah, of the Kega from far they came	pro.h:s is repeated	280117_10_Hamid_Clandividing.WAV 15.890 26.440	rn_adp=np.h:g
00:00:22.923	22.923	00:00:24.095	24.095	00:00:01.172	1.172	280117_10_Hamid_Clandividing 004	alowʌ				they from west ah, of the Kega from far they came	pro.h:s is repeated	280117_10_Hamid_Clandividing.WAV 15.890 26.440	adp=np:l
00:00:22.923	22.923	00:00:23.313	23.313	00:00:00.390	0.39	280117_10_Hamid_Clandividing 004	alowʌ	a=	from=	clitic=	they from west ah, of the Kega from far they came	pro.h:s is repeated	280117_10_Hamid_Clandividing.WAV 15.890 26.440	adp=np:l
00:00:23.313	23.313	00:00:23.704	23.704	00:00:00.391	0.391	280117_10_Hamid_Clandividing 004	alowʌ	lo	far	adv	they from west ah, of the Kega from far they came	pro.h:s is repeated	280117_10_Hamid_Clandividing.WAV 15.890 26.440	adp=np:l
00:00:23.704	23.704	00:00:24.095	24.095	00:00:00.391	0.391	280117_10_Hamid_Clandividing 004	alowʌ	=(G)A	=FOC.SG	=clitic	they from west ah, of the Kega from far they came	pro.h:s is repeated	280117_10_Hamid_Clandividing.WAV 15.890 26.440	adp=np:l
00:00:24.095	24.095	00:00:25.267	25.267	00:00:01.172	1.172	280117_10_Hamid_Clandividing 004	ihinʌ	ihinʌ	3pl	pron	they from west ah, of the Kega from far they came	pro.h:s is repeated	280117_10_Hamid_Clandividing.WAV 15.890 26.440	pro.h:s
00:00:25.267	25.267	00:00:26.440	26.44	00:00:01.173	1.173	280117_10_Hamid_Clandividing 004	cɔɔŋ	cɔɔŋ	arrive:VENT	v:VENT	they from west ah, of the Kega from far they came	pro.h:s is repeated	280117_10_Hamid_Clandividing.WAV 15.890 26.440	v:pred
00:00:27.480	27.48	00:00:27.968	27.968	00:00:00.488	0.488	280117_10_Hamid_Clandividing 005	##	##	##	##	since they came to the place which people call Matuk	# dependent clause beginning; % dependent clause end (if not end of the whole sentence); ŋkiyʌ fungiert hier als Hilfsverb	280117_10_Hamid_Clandividing.WAV 27.480 33.340	##
00:00:27.968	27.968	00:00:28.456	28.456	00:00:00.488	0.488	280117_10_Hamid_Clandividing 005	#	#	#	#	since they came to the place which people call Matuk	# dependent clause beginning; % dependent clause end (if not end of the whole sentence); ŋkiyʌ fungiert hier als Hilfsverb	280117_10_Hamid_Clandividing.WAV 27.480 33.340	#
00:00:28.456	28.456	00:00:28.945	28.945	00:00:00.489	0.489	280117_10_Hamid_Clandividing 005	adɘna	adɘna	since	adv	since they came to the place which people call Matuk	# dependent clause beginning; % dependent clause end (if not end of the whole sentence); ŋkiyʌ fungiert hier als Hilfsverb	280117_10_Hamid_Clandividing.WAV 27.480 33.340	other
00:00:28.945	28.945	00:00:29.433	29.433	00:00:00.488	0.488	280117_10_Hamid_Clandividing 005	diyʌŋaa				since they came to the place which people call Matuk	# dependent clause beginning; % dependent clause end (if not end of the whole sentence); ŋkiyʌ fungiert hier als Hilfsverb	280117_10_Hamid_Clandividing.WAV 27.480 33.340	v:pred
00:00:28.945	28.945	00:00:29.067	29.067	00:00:00.122	0.122	280117_10_Hamid_Clandividing 005	diyʌŋaa	di	walk	v	since they came to the place which people call Matuk	# dependent clause beginning; % dependent clause end (if not end of the whole sentence); ŋkiyʌ fungiert hier als Hilfsverb	280117_10_Hamid_Clandividing.WAV 27.480 33.340	v:pred
00:00:29.067	29.067	00:00:29.189	29.189	00:00:00.122	0.122	280117_10_Hamid_Clandividing 005	diyʌŋaa	-y	-EP	-Sfx	since they came to the place which people call Matuk	# dependent clause beginning; % dependent clause end (if not end of the whole sentence); ŋkiyʌ fungiert hier als Hilfsverb	280117_10_Hamid_Clandividing.WAV 27.480 33.340	v:pred
00:00:29.189	29.189	00:00:29.311	29.311	00:00:00.122	0.122	280117_10_Hamid_Clandividing 005	diyʌŋaa	-Vŋ	-VENT	-Sfx	since they came to the place which people call Matuk	# dependent clause beginning; % dependent clause end (if not end of the whole sentence); ŋkiyʌ fungiert hier als Hilfsverb	280117_10_Hamid_Clandividing.WAV 27.480 33.340	v:pred
00:00:29.311	29.311	00:00:29.433	29.433	00:00:00.122	0.122	280117_10_Hamid_Clandividing 005	diyʌŋaa	-aa	-INS	-Sfx	since they came to the place which people call Matuk	# dependent clause beginning; % dependent clause end (if not end of the whole sentence); ŋkiyʌ fungiert hier als Hilfsverb	280117_10_Hamid_Clandividing.WAV 27.480 33.340	v:pred
00:00:29.433	29.433	00:00:29.921	29.921	00:00:00.488	0.488	280117_10_Hamid_Clandividing 005	ɲihinʌ,				since they came to the place which people call Matuk	# dependent clause beginning; % dependent clause end (if not end of the whole sentence); ŋkiyʌ fungiert hier als Hilfsverb	280117_10_Hamid_Clandividing.WAV 27.480 33.340	pro.h:a_erg
00:00:29.433	29.433	00:00:29.677	29.677	00:00:00.244	0.244	280117_10_Hamid_Clandividing 005	ɲihinʌ,	N=	ERG=	clitic=	since they came to the place which people call Matuk	# dependent clause beginning; % dependent clause end (if not end of the whole sentence); ŋkiyʌ fungiert hier als Hilfsverb	280117_10_Hamid_Clandividing.WAV 27.480 33.340	pro.h:a_erg
00:00:29.677	29.677	00:00:29.921	29.921	00:00:00.244	0.244	280117_10_Hamid_Clandividing 005	ɲihinʌ,	ihinʌ	3pl	pron	since they came to the place which people call Matuk	# dependent clause beginning; % dependent clause end (if not end of the whole sentence); ŋkiyʌ fungiert hier als Hilfsverb	280117_10_Hamid_Clandividing.WAV 27.480 33.340	pro.h:a_erg
00:00:29.921	29.921	00:00:30.410	30.41	00:00:00.489	0.489	280117_10_Hamid_Clandividing 005	ikihi				since they came to the place which people call Matuk	# dependent clause beginning; % dependent clause end (if not end of the whole sentence); ŋkiyʌ fungiert hier als Hilfsverb	280117_10_Hamid_Clandividing.WAV 27.480 33.340	adp=np:g 
00:00:29.921	29.921	00:00:30.084	30.084	00:00:00.163	0.163	280117_10_Hamid_Clandividing 005	ikihi	V=	DIR=	clitic=	since they came to the place which people call Matuk	# dependent clause beginning; % dependent clause end (if not end of the whole sentence); ŋkiyʌ fungiert hier als Hilfsverb	280117_10_Hamid_Clandividing.WAV 27.480 33.340	adp=np:g 
00:00:30.084	30.084	00:00:30.247	30.247	00:00:00.163	0.163	280117_10_Hamid_Clandividing 005	ikihi	k(V)-	SG-	Pfx-	since they came to the place which people call Matuk	# dependent clause beginning; % dependent clause end (if not end of the whole sentence); ŋkiyʌ fungiert hier als Hilfsverb	280117_10_Hamid_Clandividing.WAV 27.480 33.340	adp=np:g 
00:00:30.247	30.247	00:00:30.410	30.41	00:00:00.163	0.163	280117_10_Hamid_Clandividing 005	ikihi	hi	place	n	since they came to the place which people call Matuk	# dependent clause beginning; % dependent clause end (if not end of the whole sentence); ŋkiyʌ fungiert hier als Hilfsverb	280117_10_Hamid_Clandividing.WAV 27.480 33.340	adp=np:g 
00:00:30.410	30.41	00:00:30.898	30.898	00:00:00.488	0.488	280117_10_Hamid_Clandividing 005	#	#	#	#	since they came to the place which people call Matuk	# dependent clause beginning; % dependent clause end (if not end of the whole sentence); ŋkiyʌ fungiert hier als Hilfsverb	280117_10_Hamid_Clandividing.WAV 27.480 33.340	#
00:00:30.898	30.898	00:00:31.386	31.386	00:00:00.488	0.488	280117_10_Hamid_Clandividing 005	Ø	Ø	Ø	Ø	since they came to the place which people call Matuk	# dependent clause beginning; % dependent clause end (if not end of the whole sentence); ŋkiyʌ fungiert hier als Hilfsverb	280117_10_Hamid_Clandividing.WAV 27.480 33.340	0:p
00:00:31.386	31.386	00:00:31.875	31.875	00:00:00.489	0.489	280117_10_Hamid_Clandividing 005	ŋkwiyʌ	ŋkwiyʌ	cop	copula	since they came to the place which people call Matuk	# dependent clause beginning; % dependent clause end (if not end of the whole sentence); ŋkiyʌ fungiert hier als Hilfsverb	280117_10_Hamid_Clandividing.WAV 27.480 33.340	other:predex
00:00:31.875	31.875	00:00:32.363	32.363	00:00:00.488	0.488	280117_10_Hamid_Clandividing 005	ɘt̪ana				since they came to the place which people call Matuk	# dependent clause beginning; % dependent clause end (if not end of the whole sentence); ŋkiyʌ fungiert hier als Hilfsverb	280117_10_Hamid_Clandividing.WAV 27.480 33.340	v:pred
00:00:31.875	31.875	00:00:32.119	32.119	00:00:00.244	0.244	280117_10_Hamid_Clandividing 005	ɘt̪ana	V-	3P-	Pfx-	since they came to the place which people call Matuk	# dependent clause beginning; % dependent clause end (if not end of the whole sentence); ŋkiyʌ fungiert hier als Hilfsverb	280117_10_Hamid_Clandividing.WAV 27.480 33.340	v:pred
00:00:32.119	32.119	00:00:32.363	32.363	00:00:00.244	0.244	280117_10_Hamid_Clandividing 005	ɘt̪ana	t̪ana	address	v	since they came to the place which people call Matuk	# dependent clause beginning; % dependent clause end (if not end of the whole sentence); ŋkiyʌ fungiert hier als Hilfsverb	280117_10_Hamid_Clandividing.WAV 27.480 33.340	v:pred
00:00:32.363	32.363	00:00:32.851	32.851	00:00:00.488	0.488	280117_10_Hamid_Clandividing 005	ɲɪhwaa				since they came to the place which people call Matuk	# dependent clause beginning; % dependent clause end (if not end of the whole sentence); ŋkiyʌ fungiert hier als Hilfsverb	280117_10_Hamid_Clandividing.WAV 27.480 33.340	np.h:a_erg %
00:00:32.363	32.363	00:00:32.607	32.607	00:00:00.244	0.244	280117_10_Hamid_Clandividing 005	ɲɪhwaa	N=	ERG=	clitic=	since they came to the place which people call Matuk	# dependent clause beginning; % dependent clause end (if not end of the whole sentence); ŋkiyʌ fungiert hier als Hilfsverb	280117_10_Hamid_Clandividing.WAV 27.480 33.340	np.h:a_erg %
00:00:32.607	32.607	00:00:32.851	32.851	00:00:00.244	0.244	280117_10_Hamid_Clandividing 005	ɲɪhwaa	ɪhwaa	people	npl	since they came to the place which people call Matuk	# dependent clause beginning; % dependent clause end (if not end of the whole sentence); ŋkiyʌ fungiert hier als Hilfsverb	280117_10_Hamid_Clandividing.WAV 27.480 33.340	np.h:a_erg %
00:00:32.851	32.851	00:00:33.340	33.34	00:00:00.489	0.489	280117_10_Hamid_Clandividing 005	mʌtuki				since they came to the place which people call Matuk	# dependent clause beginning; % dependent clause end (if not end of the whole sentence); ŋkiyʌ fungiert hier als Hilfsverb	280117_10_Hamid_Clandividing.WAV 27.480 33.340	np:p %
00:00:32.851	32.851	00:00:33.095	33.095	00:00:00.244	0.244	280117_10_Hamid_Clandividing 005	mʌtuki	mʌtuk	Matuk	pn	since they came to the place which people call Matuk	# dependent clause beginning; % dependent clause end (if not end of the whole sentence); ŋkiyʌ fungiert hier als Hilfsverb	280117_10_Hamid_Clandividing.WAV 27.480 33.340	np:p %
00:00:33.095	33.095	00:00:33.340	33.34	00:00:00.245	0.245	280117_10_Hamid_Clandividing 005	mʌtuki	=I	=SEL	=clitic	since they came to the place which people call Matuk	# dependent clause beginning; % dependent clause end (if not end of the whole sentence); ŋkiyʌ fungiert hier als Hilfsverb	280117_10_Hamid_Clandividing.WAV 27.480 33.340	np:p %
00:00:33.510	33.51	00:00:34.088	34.088	00:00:00.578	0.578	280117_10_Hamid_Clandividing 006	##	##	##	##	they came and settled all there		280117_10_Hamid_Clandividing.WAV 33.510 36.980	##
00:00:34.088	34.088	00:00:34.666	34.666	00:00:00.578	0.578	280117_10_Hamid_Clandividing 006	ihinʌ	ihinʌ	3pl	pron	they came and settled all there		280117_10_Hamid_Clandividing.WAV 33.510 36.980	pro.h:s
00:00:34.666	34.666	00:00:35.245	35.245	00:00:00.579	0.579	280117_10_Hamid_Clandividing 006	diyʌŋ				they came and settled all there		280117_10_Hamid_Clandividing.WAV 33.510 36.980	lv_svc
00:00:34.666	34.666	00:00:34.859	34.859	00:00:00.193	0.193	280117_10_Hamid_Clandividing 006	diyʌŋ	di	walk	v	they came and settled all there		280117_10_Hamid_Clandividing.WAV 33.510 36.980	lv_svc
00:00:34.859	34.859	00:00:35.052	35.052	00:00:00.193	0.193	280117_10_Hamid_Clandividing 006	diyʌŋ	-y	-EP	-Sfx	they came and settled all there		280117_10_Hamid_Clandividing.WAV 33.510 36.980	lv_svc
00:00:35.052	35.052	00:00:35.245	35.245	00:00:00.193	0.193	280117_10_Hamid_Clandividing 006	diyʌŋ	-Vŋ	-VENT	-Sfx	they came and settled all there		280117_10_Hamid_Clandividing.WAV 33.510 36.980	lv_svc
00:00:35.245	35.245	00:00:35.823	35.823	00:00:00.578	0.578	280117_10_Hamid_Clandividing 006	ʊhʊndɔnɔ				they came and settled all there		280117_10_Hamid_Clandividing.WAV 33.510 36.980	v:pred
00:00:35.245	35.245	00:00:35.534	35.534	00:00:00.289	0.289	280117_10_Hamid_Clandividing 006	ʊhʊndɔnɔ	V-	PAST-	Pfx-	they came and settled all there		280117_10_Hamid_Clandividing.WAV 33.510 36.980	v:pred
00:00:35.534	35.534	00:00:35.823	35.823	00:00:00.289	0.289	280117_10_Hamid_Clandividing 006	ʊhʊndɔnɔ	hʊndɔnɔ	sit	v	they came and settled all there		280117_10_Hamid_Clandividing.WAV 33.510 36.980	v:pred
00:00:35.823	35.823	00:00:36.401	36.401	00:00:00.578	0.578	280117_10_Hamid_Clandividing 006	indiʔil	indiʔil	all	adj	they came and settled all there		280117_10_Hamid_Clandividing.WAV 33.510 36.980	other
00:00:36.401	36.401	00:00:36.980	36.98	00:00:00.579	0.579	280117_10_Hamid_Clandividing 006	llo	llo	there	adv	they came and settled all there		280117_10_Hamid_Clandividing.WAV 33.510 36.980	np:l
00:00:37.710	37.71	00:00:38.755	38.755	00:00:01.045	1.045	280117_10_Hamid_Clandividing 007	##	##	##	##	from there		280117_10_Hamid_Clandividing.WAV 37.710 39.800	##
00:00:38.755	38.755	00:00:39.800	39.8	00:00:01.045	1.045	280117_10_Hamid_Clandividing 007	ayaanʊŋ				from there		280117_10_Hamid_Clandividing.WAV 37.710 39.800	other
00:00:38.755	38.755	00:00:39.277	39.277	00:00:00.522	0.522	280117_10_Hamid_Clandividing 007	ayaanʊŋ	a=	from=	clitic=	from there		280117_10_Hamid_Clandividing.WAV 37.710 39.800	other
00:00:39.277	39.277	00:00:39.800	39.8	00:00:00.523	0.523	280117_10_Hamid_Clandividing 007	ayaanʊŋ	yaanʊŋ	there	adv	from there		280117_10_Hamid_Clandividing.WAV 37.710 39.800	other
00:00:40.690	40.69	00:00:41.732	41.732	00:00:01.042	1.042	280117_10_Hamid_Clandividing 008 280117_10_Hamid_Clandividing 009	aaah,	aaah	aaah	interjection	ah, the three brothers are magicians		280117_10_Hamid_Clandividing.WAV 40.690 43.520 280117_10_Hamid_Clandividing.WAV 44.560 45.900	nc
00:00:41.732	41.732	00:00:42.774	42.774	00:00:01.042	1.042	280117_10_Hamid_Clandividing 008 280117_10_Hamid_Clandividing 009	ihinʌnʌ				ah, the three brothers are magicians		280117_10_Hamid_Clandividing.WAV 40.690 43.520 280117_10_Hamid_Clandividing.WAV 44.560 45.900	pro.h:s=rn_dem1
00:00:41.732	41.732	00:00:42.253	42.253	00:00:00.521	0.521	280117_10_Hamid_Clandividing 008 280117_10_Hamid_Clandividing 009	ihinʌnʌ	ihinʌ	3pl	pron	ah, the three brothers are magicians		280117_10_Hamid_Clandividing.WAV 40.690 43.520 280117_10_Hamid_Clandividing.WAV 44.560 45.900	pro.h:s=rn_dem1
00:00:42.253	42.253	00:00:42.774	42.774	00:00:00.521	0.521	280117_10_Hamid_Clandividing 008 280117_10_Hamid_Clandividing 009	ihinʌnʌ	=nA	=DEM.PROX	=clitic	ah, the three brothers are magicians		280117_10_Hamid_Clandividing.WAV 40.690 43.520 280117_10_Hamid_Clandividing.WAV 44.560 45.900	pro.h:s=rn_dem1
00:00:42.774	42.774	00:00:43.816	43.816	00:00:01.042	1.042	280117_10_Hamid_Clandividing 008 280117_10_Hamid_Clandividing 009	ɲɪwaan				ah, the three brothers are magicians		280117_10_Hamid_Clandividing.WAV 40.690 43.520 280117_10_Hamid_Clandividing.WAV 44.560 45.900	np.h:obl
00:00:42.774	42.774	00:00:43.121	43.121	00:00:00.347	0.347	280117_10_Hamid_Clandividing 008 280117_10_Hamid_Clandividing 009	ɲɪwaan	N=	INS=	clitic=	ah, the three brothers are magicians		280117_10_Hamid_Clandividing.WAV 40.690 43.520 280117_10_Hamid_Clandividing.WAV 44.560 45.900	np.h:obl
00:00:43.121	43.121	00:00:43.468	43.468	00:00:00.347	0.347	280117_10_Hamid_Clandividing 008 280117_10_Hamid_Clandividing 009	ɲɪwaan	I-	PL-	Pfx-	ah, the three brothers are magicians		280117_10_Hamid_Clandividing.WAV 40.690 43.520 280117_10_Hamid_Clandividing.WAV 44.560 45.900	np.h:obl
00:00:43.468	43.468	00:00:43.816	43.816	00:00:00.348	0.348	280117_10_Hamid_Clandividing 008 280117_10_Hamid_Clandividing 009	ɲɪwaan	waan	sibling	n	ah, the three brothers are magicians		280117_10_Hamid_Clandividing.WAV 40.690 43.520 280117_10_Hamid_Clandividing.WAV 44.560 45.900	np.h:obl
